"","OBJECTID","Id","gridcode","OBJECTID_1","sampleid","station","location","state","sampdate","custid","method","area","EcoRegion3","US_L3NAME","lat","long","geometry","geometry2","Permanent_","FDate","Resolution","GNIS_ID","GNIS_Name","LengthKM","ReachCode","Enabled","GNIS_Stati","MLocID","Org_ID","Measure","COMID","FAC_QC","Alt_ID","Identifier","Delin_QC","Shape_Length","Shape_Area","Area_km2","rd_km","rdden_km_km2","total_strm_km","xings","xings_km2","canal_km","P_canal","mines","mines_km2","grvl_mn","grvl_mn_km2","Ag_km2","P_AgLand","Urban21_km2","P_Urban21Land","rd_Status","xing_Status","Ag_Status","Urb21L_Status","mines_status","gmines_status","canal_status","GIS.status_2020","WorE","Eco3","GIS.status_2020.yn"
"11",11,17,15,484,151201,"2013ORUTR1021","UPPER TROUT CREEK","OR",2013-08-16,"USFS_504","Surber net",0.74,9,"Eastern Cascades Slopes and Foothills",44.2367917524,-121.704748355,"c(-2022195.31171421","2635882.7810745)","2a6bba6b-9e3b-41a7-a7b6-580333b22692",2012-02-22,2,"01151442","Trout Creek",2.04,"17070301000294",1,"yes","2013ORUTR1021",NA,93.6161813634,23700771,"On FAC",NA,15,"OK",33240.0000000112,25648199.9999999,25.6481999999999,7.7064124859506,0.300466016560641,9.74318514492725,2,0.0779781817047593,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"12",12,18,16,485,151204,"2013ORUTR1029","UPPER TROUT CREEK","OR",2013-08-17,"USFS_504","Surber net",0.74,9,"Eastern Cascades Slopes and Foothills",44.2347818202,-121.706933755,"c(-2022422.88984207","2635713.39695745)","2a6bba6b-9e3b-41a7-a7b6-580333b22692",2012-02-22,2,"01151442","Trout Creek",2.04,"17070301000294",1,"yes","2013ORUTR1029",NA,95.9597459858,23700771,"On FAC",NA,16,"OK",32400.0000000075,25191899.9999986,25.1918999999986,5.96958544721338,0.23696447855119,9.49102341677516,2,0.0793905977715106,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"13",13,19,17,486,151205,"2013ORUTR1039","UPPER TROUT CREEK","OR",2013-08-18,"USFS_504","Surber net",0.74,9,"Eastern Cascades Slopes and Foothills",44.2569851285,-121.69206624,"c(-2020620.92165856","2637782.02195766)","56903a3c-46e7-481c-a94a-c1d082dc0e1a",2012-07-20,2,"01151442","Trout Creek",0.771,"17070301006879",1,"yes","2013ORUTR1039",NA,72.1152947635,23700771,"On FAC",NA,17,"OK",45240.0000000112,47594699.9999997,47.5946999999997,46.1188957526822,0.968992256547105,12.3731725172827,4,0.0840429711711603,0,0,0,0,0,0,0,0,0.0800182853853374,0.16812436129514,1,1,1,1,1,1,1,"Ref_GIS.candidate","E","EC","Y"
"14",14,20,18,487,151206,"2013ORWLD1001","WILDCAT CREEK","OR",2013-08-04,"USFS_504","Surber net",0.74,1,"Coast Range",43.989828412,-123.453360524,"c(-2163881.72427243","2647930.22188907)","161935812",2012-02-24,2,"01152344","Wildcat Creek",0.202,"17100206011022",1,"yes","38159-ORDEQ","OregonDEQ",52.3442891948,23889734,"On FAC","38159",18,"OK",10319.9999999963,2995199.99999933,2.99519999999933,10.294852565923,3.43711690902955,1.77645269665656,3,1.00160256410279,0,0,0,0,0,0,0,0,0.159247024597509,5.31674093875349,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"15",15,21,19,488,151207,"2013ORWLD1003","WILDCAT CREEK","OR",2013-08-03,"USFS_504","Surber net",0.74,1,"Coast Range",44.0032589252,-123.482600941,"c(-2165694.7695238","2650031.90510515)","161935761",2012-02-24,2,"01152344","Wildcat Creek",0.306,"17100206000154",1,"yes","29895-ORDEQ","OregonDEQ",60.4708019446,23889732,"On FAC; 190m from 29895","29895",19,"OK",22920.0000000037,11140200.0000003,11.1402000000003,40.3704481067277,3.6238530822361,7.43736759520736,7,0.62835496669717,0,0,0,0,0,0,0,0,0.6315348593026,5.6689723640741,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"16",16,22,20,489,151208,"2013ORWLD1016","WILDCAT CREEK","OR",2013-08-06,"USFS_504","Surber net",0.74,1,"Coast Range",43.9881423432,-123.456228343,"c(-2164155.01208657","2647815.28854275)","161937080",2012-02-24,2,"01152344","Wildcat Creek",0.216,"17100206025440",1,"yes","38160-ORDEQ","OregonDEQ",45.5833470256,23889734,"Moved 50m SE to FAC btw unnamed tribs; updated MLocID from 38159","38160",20,"OK",11460,3568499.99999944,3.56849999999944,12.3497756863929,3.46077502771328,2.10180526221191,4,1.12091915370622,0,0,0,0,0,0,0,0,0.175879043845842,4.92865472455849,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"17",17,23,21,490,151209,"2013ORWLD1019","WILDCAT CREEK","OR",2013-08-02,"USFS_504","Surber net",0.74,1,"Coast Range",43.9989345758,-123.47680354,"c(-2165388.21710585","2649437.58350129)","161935934",2012-02-24,2,"01152344","Wildcat Creek",0.287,"17100206000154",1,"yes","2013ORWLD1019",NA,77.7729994971,23889732,"On FAC",NA,21,"OK",21180,10274400.0000007,10.2744000000007,37.8368961618928,3.68263802868199,6.6633523327305,7,0.681304991045659,0,0,0,0,0,0,0,0,0.561180161961904,5.46192636029224,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"18",18,24,22,491,151211,"2013ORWLD1029","WILDCAT CREEK","OR",2013-08-06,"USFS_504","Surber net",0.74,1,"Coast Range",43.987053728,-123.467168777,"c(-2165027.82344315","2647948.11523238)","161935803",2012-02-24,2,"01152344","Wildcat Creek",0.201,"17100206000155",1,"yes","2013ORWLD1029",NA,25.5776245751,23889734,"Moved S to nearest FAC",NA,22,"OK",14100.0000000037,5321699.99999944,5.32169999999944,19.8925488502111,3.7380064359534,3.02572555522616,4,0.751639513689314,0,0,0,0,0,0,0,0,0.336901500215564,6.33071199458067,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"19",19,25,23,492,151212,"2013ORWLD1030","WILDCAT CREEK","OR",2013-08-01,"USFS_504","Surber net",0.74,1,"Coast Range",44.0068824847,-123.487981785,"c(-2165991.65073638","2650541.83703655)","161934842",2012-02-24,2,"01152344","Wildcat Creek",0.327,"17100206000154",1,"yes","2013ORWLD1030",NA,42.24161,23889732,"Moved W to nearest FAC",NA,23,"OK",24240,13257000.0000006,13.2570000000006,47.3950925827754,3.57509938770259,8.06902159182824,7,0.528022931281563,0,0,0,0,0,0,0,0,0.660564073442808,4.98275683369373,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"20",20,26,24,493,151215,"2013ORWRM1005","WARM SPRINGS CREEK","OR",2013-08-17,"USFS_504","Surber net",0.74,4,"Cascades",43.3653879535,-122.228227287,"c(-2088827.41772641","2553599.87684746)","161861054",2012-02-25,2,"01151893","Warm Spring Creek",1.647,"17100301000461",1,"yes","2013ORWRM1005",NA,68.3555576894,23894938,"Moved N to FAC",NA,24,"OK",29700,31663800.0000013,31.6638000000013,57.9896155445737,1.83141680861335,7.98863808410684,4,0.126327225411979,0,0,0,0,0,0,0,0,0.0151137010936488,0.0477317981216663,0,0,1,1,1,1,1,"NO","W","Ca","N"
"21",21,27,25,494,151216,"2013ORWRM1009","WARM SPRINGS CREEK","OR",2013-08-19,"USFS_504","Surber net",0.74,4,"Cascades",43.3679264527,-122.196734037,"c(-2086306.03219999","2553180.76964323)","161861047",2012-02-25,2,"01151893","Warm Spring Creek",0.514,"17100301000462",1,"yes","2013ORWRM1009",NA,26.0735282465,23894940,"On FAC",NA,25,"OK",18359.9999999851,11871900.000001,11.871900000001,25.3618615862606,2.13629339754028,1.26866220260624,1,0.0842325154356014,0,0,0,0,0,0,0,0,0.0151137010936488,0.127306506065984,0,1,1,1,1,1,1,"NO","W","Ca","N"
"22",22,28,26,495,151252,"2013ORLCB1015","CARBERRY CREEK","OR",2013-08-18,"USFS_504","Surber net",0.74,78,"Klamath Mountains",42.0693119965,-123.176663922,"c(-2203186.91312842","2435852.94520762)","160583383",2012-02-20,2,"01139367","Carberry Creek",0.714,"17100309000142",1,"yes","2013ORLCB1015",NA,12.0397032591,23936063,"On FAC",NA,26,"REVIEW; Think is OK;  FAC/NHD mismatch missed Thompson Cr drainage in NE corner",73500.0000000037,137777400.000003,137.777400000003,157.311981496249,1.14178364155693,99.2136464934722,28,0.203226363685186,6.5414041415136,6.59325039720619,3,0.0217742532519842,1,0.00725808441732808,0.00506689385018814,0.0036775943298306,3.27102751717473,2.37413938510573,1,0,0,0,0,2,2,"Trash","W","KlMt","N"
"23",23,30,27,496,151356,"WFKASHLAND","West Fork Ashland Creek","OR",2013-12-02,"USFS-R6-371","Surber net",0.74,78,"Klamath Mountains",42.1487380153,-122.717021143,"c(-2164455.10346593","2433819.45230457)","{7B4B49BC-6902-47EB-A5E1-2F1A7E22E464}",2014-06-14,2,"01152049","West Fork Ashland Creek",0.28266605,"17100308003747",1,"yes","WFKASHLAND","OregonDEQ",56.6315967813,23930882,"On FAC; 35696 is 280m u/s",NA,27,"OK",31260.0000000037,27527399.9999997,27.5273999999997,17.8258066387193,0.64756593934478,14.35443708187,3,0.1089823230672,0,0,0,0,0,0,0,0,0.66392227317185,2.41185972221081,1,0,1,0,1,1,1,"NO","W","KlMt","N"
"24",24,32,28,497,151358,"PNW-021","West Fork of Ashland Creek","OR",2013-12-02,"USFS-R6-371","Surber net",0.74,78,"Klamath Mountains",42.1461,-122.715,"c(-2164377.55423559","2433489.95983456)","{7B4B49BC-6902-47EB-A5E1-2F1A7E22E464}",2014-06-14,2,"01152049","West Fork Ashland Creek",0.28266605,"17100308003747",1,"yes","35696-ORDEQ","OregonDEQ",30.3804514942,23930882,"On FAC; moved 150m W, was up on hill; is adjacent to 35696","35696",28,"OK",30480,27108000,27.108,17.6160069610814,0.649845320978361,13.9849767166566,3,0.110668437361664,0,0,0,0,0,0,0,0,0.66392227317185,2.44917468338442,1,0,1,0,1,1,1,"NO","W","KlMt","N"
"25",25,33,29,498,151617,"23813ELK","Elk Creek at RM 1.7 (Nestucca)","OR",2009-08-10,"USFS_504","Surber net",0.743218135,1,"Coast Range",45.30022,-123.55835,"c(-2130196.71267487","2790163.59376238)","165008119",2012-02-24,2,"01141748","Elk Creek",0.203,"17100203002990",1,"yes","23813-ORDEQ","OregonDEQ",18.7963024905,23876159,"On FAC","23813",29,"OK",28319.9999999814,17568899.9999984,17.5688999999984,63.0212456178046,3.5870911450239,12.4664957250406,2,0.113837519708131,0,0,0,0,0,0,0,0,0.730425629295188,4.15749209851075,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"26",26,34,30,499,151619,"33452CLEAR","Clear Cr","OR",2009-09-01,"USFS_504","Surber net",0.743218135,78,"Klamath Mountains",42.7957,-123.2445,"c(-2185570.76587899","2515323.93925292)","160856211",2012-02-25,2,"01132723","Clear Creek",1.099,"17100302009918",1,"yes","33452-ORDEQ","OregonDEQ",14.2160919086,23902839,"On FAC; moved 40m W; No COMID ('0); updated COMID to 23902839","33452",30,"ODD break in FAC/NHD btw Clear & Canyon Creeks, but it looks okay",17219.9999999963,8375399.99999866,8.37539999999866,27.1392016359759,3.24034692504003,3.521872436109,5,0.596986412589345,0,0,0,0,0,0,0.242747867964932,2.89834357720193,0.252604364544561,3.01602746787737,0,0,0,0,1,1,1,"NO","W","KlMt","N"
"27",27,35,31,500,151620,"34646CLAY","Clay Cr at RM 0.16 (Siuslaw R)","OR",2009-08-05,"USFS_504","Surber net",0.743218135,1,"Coast Range",43.9018,-123.5666,"c(-2175364.14378515","2641106.33123716)","17422278-94f9-49b7-97bc-943dd30febb7",2012-02-24,2,"01118988","Clay Creek",0.281,"17100206037745",1,"yes","34646-ORDEQ","OregonDEQ",4.43118,23890472,"On FAC; moved 130m N to FAC nearest 34646 Clay Cr at RM 0.16; No COMID ('0'); updated MLocID from 33328","34646",31,"OK",14819.9999999888,5212800.00000073,5.21280000000073,7.61323656375969,1.46048890495677,3.44900756891904,0,0,0,0,0,0,0,0,0,0,0.166305264139402,3.19032504871429,0,1,1,0,1,1,1,"NO","W","CoRa","N"
"28",28,36,32,501,151621,"34679HUD","Hudson Cr at RM 3.61","OR",2009-08-06,"USFS_504","Surber net",0.743218135,1,"Coast Range",43.2629,-123.984,"c(-2228046.34261951","2582497.55566548)","165974408",2012-02-25,2,"01122104","Hudson Creek",0.258,"17100305000342",1,"yes","34679-ORDEQ","OregonDEQ",8.02651772847,23915053,"On FAC","34679",32,"OK",14820.0000000037,6403499.99999871,6.40349999999871,17.6040939214082,2.7491362413386,4.34809640337972,2,0.312329194971563,0,0,0,0,0,0,0,0,0.0242218339578253,0.378259295039122,0,0,1,1,1,1,1,"NO","W","CoRa","N"
"29",29,37,33,502,151622,"34696EEL","Eel Cr at RM 0.60","OR",2009-08-11,"USFS_504","Surber net",0.743218135,1,"Coast Range",43.5811,-124.1855,"c(-2233236.55042846","2621209.21571579)","122426136",2013-11-11,2,"01141689","Eel Creek",3.40379771,"17100304000642",1,"yes","34696-ORDEQ","OregonDEQ",24.23718,23911003,"On FAC; moved 10m W","34696",33,"OK",38280.0000000075,27429300.0000001,27.4293000000001,34.3529785236254,1.2524190746255,24.0406018276683,9,0.328116284411194,0,0,0,0,0,0,0,0,0.555152337123088,2.02393913487798,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"30",30,38,34,503,151623,"34722MILL","Mill Cr at RM 2.51","OR",2009-08-06,"USFS_504","Surber net",0.743218135,1,"Coast Range",44.2079,-124.0717,"c(-2204131.87132797","2685424.48861089)","162127621",2015-03-10,2,"01146226","Mill Creek",0.05973294,"17100205000446",1,"yes","33336-ORDEQ","OregonDEQ",63.2132556192,23887024,"On FAC; moved 40 m NE to FAC near 34722; 33336 further away less descriptive name","34722",34,"OK",7500.00000001118,1783799.99999989,1.78379999999989,0.272936944987323,0.153008714534892,2.39501159173928,0,0,0,0,0,0,0,0,0,0,0.0105317540802784,0.59041114924762,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","CoRa","Y"
"31",31,39,35,504,151624,"37154SIUS","North Fork Siuslaw River at RM 22.46","OR",2012-07-24,"USFS_504","Surber net",0.743218135,1,"Coast Range",44.1016857,-123.9365579,"c(-2197259.94809614","2670964.33831163)","90010967",2012-02-24,2,"01158395","North Fork Siuslaw River",0.448,"17100206000227",1,"yes","37154-ORDEQ","OregonDEQ",34.6904588901,23889894,"On FAC","37154",35,"OK",38460.0000000037,39624299.9999997,39.6242999999997,68.0292015884237,1.71685560598986,29.2489862863691,9,0.227133349989781,0,0,0,0,0,0,0.0475286915148845,0.119948343604518,1.6994112308475,4.28881073191832,0,0,0,0,1,1,1,"NO","W","CoRa","N"
"32",32,40,36,505,151626,"37180DEER","Deer Creek at RM 2.94","OR",2012-09-19,"USFS_504","Surber net",0.743218135,1,"Coast Range",44.59470133,-123.7795118,"c(-2169430.66428861","2719953.35373408)","159200747",2012-02-24,2,"01158201","Deer Creek",0.097,"17100204001717",1,"yes","37180-ORDEQ","OregonDEQ",60.918589442,23882110,"On FAC; moved 110m W to FAC","37180",36,"OK",10799.9999999963,3924899.99999972,3.92489999999972,17.9668242788813,4.57765147618604,2.30167160382363,4,1.01913424545856,0,0,0,0,0,0,0,0,0.243019758724689,6.19174396098516,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"33",33,41,37,506,151627,"DFW_39974","Big Rock Cr.","OR",2009-08-19,"USFS_504","Surber net",0.743218135,1,"Coast Range",44.73416,-123.7171,"c(-2160230.14184549","2733404.84193942)","159206889",2012-02-24,2,"01117661","Big Rock Creek",0.504,"17100204008706",1,"yes","DFW_39974",NA,28.1747269221,23881802,"On FAC; near dfw_39974","dfw_39974",37,"OK",41340.0000000224,41844599.9999992,41.8445999999992,143.281863363439,3.42414226360012,37.1095006959317,25,0.597448655262578,0,0,0,0,0,0,0.00179999979352579,0.00430162982445961,2.13383262754459,5.09942173552772,0,0,0,0,1,1,1,"NO","W","CoRa","N"
"34",34,42,38,507,151628,"DFW_49705","Williams R.","OR",2009-08-24,"USFS_504","Surber net",0.743218135,1,"Coast Range",43.21449,-123.6514,"c(-2203872.28322487","2569566.14490772)","164126551",2012-02-25,2,"01129120","Williams River",0.15,"17100304000155",1,"yes","DFW_49705",NA,39.9568079627,23909847,"On FAC; near dfw_49705","dfw_49705",38,"OK",41280.0000000037,38758500.0000012,38.7585000000012,154.509387081094,3.98646457115444,24.5238112345087,14,0.361211089180427,0,0,0,0,0,0,0,0,2.53161079511181,6.53175637630902,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"35",35,44,39,508,151629,"DFW_5051","Woodward","OR",2009-08-18,"USFS_504","Surber net",0.743218135,1,"Coast Range",43.26256,-124.0703,"c(-2234727.80352965","2584487.56008534)","124366673",2012-02-25,2,"01129319","Woodward Creek",0.329,"17100305001256",1,"yes","DFW_5051",NA,49.8284574762,23915085,"On FAC: near dfw_5051","dfw_5051",39,"OK",18840.0000000075,9927000.00000011,9.92700000000011,40.0940671626459,4.0388906177743,8.50265256542628,9,0.906618313689927,0,0,0,0,0,0,0,0,0.240622471858143,2.42391932968813,0,0,1,0,1,1,1,"NO","W","CoRa","N"
"36",36,45,40,509,151631,"DFW_62688","Bear Cr.","OR",2009-08-19,"USFS_504","Surber net",0.743218135,78,"Klamath Mountains",43.62847,-123.3672,"c(-2168728.6666581","2607319.41689155)","164883815",2012-02-25,2,"01117367","Bear Creek",0.298,"17100303000257",1,"yes","DFW_62688",NA,33.4812354873,24527132,"On FAC; near dfw_62688","dfw_62688",40,"OK",21240,13198500.0000004,13.1985000000004,38.0475426956444,2.88271717965248,11.0318446355726,9,0.681895669962475,0,0,0,0,0,0,0,0,0.577844418996158,4.37810674694958,0,0,1,0,1,1,1,"NO","W","KlMt","N"
"37",37,46,41,510,151632,"DFW_6791","Smith R.","OR",2009-08-11,"USFS_504","Surber net",0.743218135,3,"Willamette Valley",43.764,-123.3501,"c(-2163118.86364685","2621429.79121859)","124421305",2012-02-25,2,"01149763","Smith River",0.188,"17100303009366",1,"yes","24100-ORDEQ","OregonDEQ",73.2323805123,24527500,"On FAC; near stations 24100-ORDEQ & dfw_6791","24100",41,"OK",20699.9999999665,11040299.9999994,11.0402999999994,46.103188632944,4.17589998758607,10.9050750591287,14,1.26808148329309,0,0,0,0,0,0,0,0,0.423466691654574,3.83564478913252,0,0,1,0,1,1,1,"NO","W","WV","N"
"38",38,47,42,511,151633,"DFW_8008","Lawson Cr.","OR",2009-08-18,"USFS_504","Surber net",0.743218135,78,"Klamath Mountains",42.79303,-123.3774,"c(-2196021.02491111","2518101.55331876)","160913186",2012-02-25,2,"01136467","Lawson Creek",0.043,"17100302008282",1,"yes","DFW_8008",NA,13.5962866476,23903435,"ON FAC; near dfw_8008","dfw_8008",42,"OK",13620.0000000037,4995899.99999933,4.99589999999933,6.23082554684311,1.24718780336755,2.67043677191439,0,0,0,0,0,0,0,0,0,0,0.0855625958051061,1.71265629426365,0,1,1,0,1,1,1,"NO","W","KlMt","N"
"39",39,50,43,512,151635,"12095WIN","EF Winchuck River U/S Wheeler Cr Rd.","OR",2007-09-11,"USFS_504","Surber net",0.743218135,78,"Klamath Mountains",42.04863,-124.09104,"c(-2275853.5465527","2455184.70036267)","146308191",2012-02-20,2,"01141618","East Fork Winchuck River",0.747,"17100312000024",1,"yes","12095-ORDEQ","OregonDEQ",11.7646011919,23949533,"On FAC; updated COMID from incorrect 23949531; is 70m away from duplicate 12095 stations","12095",43,"OK",33899.9999999925,33578099.9999983,33.5780999999983,16.8866564773903,0.502906849327126,23.3591851044296,0,0,0,0,0,0,0,0,0,0,0.464064028112778,1.38204373717632,1,1,1,1,1,1,1,"Ref_GIS.candidate","W","KlMt","Y"
"40",40,52,44,513,151636,"LTOM951","LONG TOM RIVER AT RM 48.5","OR",2007-08-27,"USFS_504","Surber net",0.743218135,3,"Willamette Valley",44.1389,-123.439,"c(-2158048.62893803","2663537.13155496)","159853011",2012-02-23,2,"01123452","Long Tom River",0.042,"17090003004463",1,"yes","12509-ORDEQ","OregonDEQ",92.1801694484,23763169,"Moved 45m N to nearest FAC","12059",44,"OK",53759.9999999963,67396499.9999958,67.3964999999958,258.499566720962,3.83550431730102,33.7097541927495,45,0.667690458703387,0,0,0,0,0,0,3.82188498529013,5.67074697542212,2.48142629629686,3.68183258225133,0,0,0,0,1,1,1,"NO","W","WV","N"
